zestimate.amount,street.name.and.number,zip.code,city,use.code,tax.assessment.year,tax.assessment.value,year.built,lot.size,finished.sqft,bathrooms,bedrooms,region.name,region.type,last.sold.date,last.sold.price,zindex.value
431737,340 E 91st St,90003,Los Angeles,SingleFamily,2019,242856,1924,4827,1000,1,3,Southeast Los Angeles,neighborhood,NA,NA,359400
766430,23509 Community St,91304,Canoga Park,SingleFamily,2019,341791,1963,11452,2090,2,4,West Hills,neighborhood,08/12/1994,227000,651200
718901,5614 Cartwright Ave,91601,North Hollywood,MultiFamily2To4,2019,574787,1941,6059,1366,2,3,North Hollywood,neighborhood,09/24/2019,695000,536800
438119,1414 W 55th St,90062,Los Angeles,MultiFamily2To4,NA,NA,1918,NA,700,1,1,South Los Angeles,neighborhood,NA,NA,429200
1303560,6327 W 81st St,90045,Los Angeles,SingleFamily,2019,971428,1944,6258,1708,2,4,Westchester,neighborhood,02/29/2008,825000,1067500
1084526,10611 Camarillo St,91602,North Hollywood,Duplex,2019,444401,1948,7770,2051,2,4,Toluca Lake,neighborhood,03/29/2001,329000,866000
1176465,9845 Babbitt Ave,91325,Northridge,SingleFamily,2019,850405,1977,20965,4004,5,5,Northridge,neighborhood,12/19/2002,655000,676300
599974,141 W 61st St,90003,Los Angeles,SingleFamily,2019,324176,1910,5096,2332,3,5,Southeast Los Angeles,neighborhood,08/12/2013,295000,359400
743222,4007 W 60th St,90043,Los Angeles,SingleFamily,2019,52697,1941,5400,1238,1,3,Park Mesa Heights,neighborhood,NA,NA,502000
770270,16416 Parthenia St,91343,North Hills,SingleFamily,2019,519887,1963,7744,2661,3,4,North Hills,neighborhood,NA,NA,546400
2375325,8218 Calabar Ave,90293,Playa Del Rey,SingleFamily,2019,1863883,2014,5497,3797,4,4,Playa Del Rey,neighborhood,02/04/2015,1730000,NA
589259,5936 Arlington Ave,90043,Los Angeles,Triplex,2019,306639,1941,6723,1571,3,3,Park Mesa Heights,neighborhood,05/26/2016,188000,502000
422827,832 W 93rd St,90044,Los Angeles,SingleFamily,2019,141877,1923,5405,1105,1,2,South Los Angeles,neighborhood,NA,NA,429200
911792,11671 Margate St,91601,North Hollywood,SingleFamily,2019,698408,1935,6098,1421,1,3,Valley Village,neighborhood,01/27/2009,605000,851200
535995,10657 Ilex Ave,91331,Pacoima,SingleFamily,2019,286341,1993,6128,1554,2,3,Pacoima,neighborhood,NA,NA,429400
1588088,18102 Chardon Cir,91316,Encino,SingleFamily,2019,720696,1964,15669,3516,3,5,Encino,neighborhood,05/20/1998,503500,872400
1667242,2342 Beach Ave,90291,Venice,SingleFamily,2019,72183,1923,1870,600,1,1,Venice,neighborhood,11/10/1975,27500,1538600
